Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
-3.098683,-2.397525,8.976614,0.006057,-0.006633,0.003147
-3.087582,-2.39755,8.975102,0.001892,-0.005198,0.001811
-3.087204,-2.385195,8.984796,0.004156,-0.008257,0.002428
-3.086661,-2.387915,8.983017,0.005372,-0.005328,0.004193
-3.079883,-2.398249,8.981263,0.004499,-0.003865,0.005996
-3.09019,-2.393004,8.978644,0.004083,-0.008221,0.006135
-3.096663,-2.397609,8.980692,0.002879,-0.005522,0.003511
-3.081473,-2.399904,8.98098,0.007079,-0.007094,0.004141
-3.093004,-2.387572,8.981956,0.005003,-0.000743,0.007021
-3.090369,-2.416979,8.98454,0.007979,-0.002277,0.005294
-3.067291,-2.387566,8.991768,0.00563,-0.001296,0.004542
-3.095248,-2.401488,8.99071,0.007129,-0.003597,0.004674
-3.087202,-2.387816,8.979879,0.005025,-0.003276,0.007308
-3.098633,-2.396383,8.989291,0.000968,-0.004683,0.001195
-3.094977,-2.378688,8.977812,0.002038,-0.004644,0.003548
-3.083191,-2.392705,8.969935,0.002864,-0.007322,0.003819
-3.09513,-2.390631,8.983433,0.00478,-0.003644,0.007069
-3.093961,-2.39898,8.990714,0.006477,-0.003184,0.007389
-3.084808,-2.39765,8.98547,0.005899,-0.004179,0.00475
-3.095817,-2.394423,8.985129,0.005987,-0.001886,0.005375
-3.092739,-2.394061,8.975497,0.005462,-0.003993,0.00437
-3.085387,-2.394288,8.992387,0.004547,-0.006497,0.001552
-3.089168,-2.402036,8.99,0.006257,-0.004991,0.004602
-3.09898,-2.389122,8.986933,0.00377,-0.006452,0.006568
-3.092761,-2.390208,8.979334,0.003447,-0.009481,0.001981
-3.084376,-2.400122,8.982868,-0.003695,-0.020862,0.003839
-3.082324,-2.39047,8.971332,-0.001289,-0.014459,0.00349
-3.091642,-2.394957,8.980044,0.000203,-0.012875,0.005686
-3.069031,-2.393158,8.990579,0.001643,-0.013861,0.004738
-3.098085,-2.404332,8.995584,0.002752,-0.006496,0.004707
-3.081365,-2.396012,8.973796,-0.0015,-0.016352,0.004915
-3.081335,-2.399425,8.988539,-0.000237,-0.010612,0.007845
-3.074006,-2.402738,8.978132,0.003463,-0.005972,0.003984
-3.091192,-2.390694,8.98586,0.004416,-0.009091,0.003656
-3.084843,-2.407444,8.985458,0.006198,-0.002788,0.004677
-3.087298,-2.406278,8.978991,0.003807,-0.006558,0.000527
-3.091245,-2.399139,8.975185,0.005725,-0.007151,0.004328
-3.090826,-2.401777,8.982445,0.006388,-0.00618,0.004568
-3.078346,-2.39992,8.982698,0.004591,-0.006565,0.003083
-3.097815,-2.410246,8.981761,0.003851,-0.005623,0.004393
-3.082652,-2.392414,8.977546,0.001208,-0.011565,0.005411
-3.084242,-2.409202,8.983463,0.002959,-0.008453,0.004305
-3.075924,-2.39886,8.982241,0.004858,-0.003703,0.007244
-3.065903,-2.397371,8.980072,0.006572,-0.001713,0.003593
-3.07962,-2.393971,8.977055,0.008458,0.000597,0.007327
-3.078762,-2.412417,8.997394,0.020144,0.014791,0.002502
-3.087112,-2.384108,8.977327,0.021869,0.018375,0.003873
-3.107173,-2.396795,8.984108,0.018776,0.014212,0.004437
-3.088085,-2.382989,8.975035,0.010449,0.002315,0.004541
-3.108342,-2.398812,8.980807,0.002521,-0.006673,0.004612
-3.084756,-2.390632,8.984096,0.003894,-0.00722,0.00442
-3.099536,-2.392396,8.979821,-0.00009,-0.015314,0.003012
-3.07952,-2.395957,8.988283,-0.003506,-0.019107,0.00372
-3.085999,-2.395497,8.991104,-0.000347,-0.016088,0.003878
-3.089485,-2.395095,8.991806,0.002546,-0.014288,0.003191
-3.091877,-2.399894,8.990395,0.008935,-0.005771,0.005802
-3.08012,-2.398539,8.994725,0.007123,-0.003125,0.003652
-3.098129,-2.402051,8.983515,0.005353,-0.005988,0.001083
-3.099468,-2.402333,8.994207,0.004078,-0.00373,0.002115
-3.098901,-2.39702,8.996895,0.003899,-0.004489,0.003059
-3.085427,-2.392401,8.963342,0.003794,-0.005518,0.004805
-3.085664,-2.398082,8.986542,0.003569,-0.008911,0.005535
-3.08329,-2.392809,8.974801,0.002388,-0.012998,0.00263
-3.070264,-2.400771,8.996053,0.004603,-0.006134,0.003985
-3.075937,-2.398233,8.989098,0.00591,-0.000672,0.004072
-3.072305,-2.390771,8.974607,0.004353,-0.003964,0.005621
-3.081469,-2.399251,8.980983,0.005999,-0.005156,0.004988
-3.086184,-2.39294,8.980667,0.006367,-0.00752,0.005011
-3.084032,-2.398774,8.984784,0.004001,-0.007103,0.004726
-3.085391,-2.40451,8.980325,0.004157,-0.006466,0.003201
-3.083383,-2.385004,8.989907,0.001801,-0.008192,0.002845
-3.076793,-2.404052,8.984448,0.00209,-0.011929,0.004739
-3.061441,-2.40817,8.983953,0.004387,-0.00516,0.000934
-3.084498,-2.409058,8.983756,0.00873,-0.002469,0.00519
-3.079088,-2.406234,8.980646,0.008254,-0.004414,0.003716
-3.097824,-2.412874,8.982555,0.008464,-0.004597,0.005908
-3.092721,-2.393242,8.987226,0.008899,-0.002393,0.00601
-3.090119,-2.398662,8.97994,0.006494,-0.001215,0.004862
-3.112951,-2.400704,8.974288,0.008067,-0.001432,0.006439
-3.109442,-2.407619,8.993273,0.002969,-0.005759,0.003517
-3.094296,-2.39176,8.978639,0.00351,-0.007597,0.005465
-3.096782,-2.40127,8.991097,0.00275,-0.007197,0.005422
-3.09644,-2.392067,8.976218,0.005148,-0.004325,0.005244
-3.092106,-2.400509,8.970305,0.004967,-0.002263,0.003517
-3.083334,-2.393946,8.981942,0.003886,-0.003009,0.004142
-3.083184,-2.397218,8.980186,0.007395,0.000269,0.006621
-3.06438,-2.396914,8.984615,0.005367,-0.003224,0.006511
-3.058389,-2.399843,8.994155,0.015227,0.006415,0.006066
-3.067944,-2.391493,8.971416,0.010608,0.006279,0.004708
-3.083803,-2.389144,8.987077,0.006118,-0.000535,0.007357
-3.084926,-2.389811,8.994734,0.004932,-0.003876,0.005404
-3.08682,-2.391209,8.989287,0.004603,-0.005687,0.004353
-3.086607,-2.398351,8.992662,0.005442,-0.002188,0.007808
-3.095747,-2.404635,8.995219,0.004842,-0.005984,0.003738
-3.094133,-2.408963,8.986593,0.005713,-0.004303,0.003983
-3.089146,-2.414396,8.987631,0.010052,-0.001938,0.005904
-3.080462,-2.409162,8.974748,0.004707,-0.002851,0.003373
-3.075845,-2.407107,8.988192,0.004047,-0.005988,0.0041
-3.083396,-2.399237,8.973043,0.000929,-0.007222,0.005482
-3.095706,-2.405987,8.984577,0.003974,-0.007182,0.003101
-3.078774,-2.393359,8.96119,0.00369,-0.002112,0.002869
-3.087606,-2.407851,8.975138,0.005787,-0.002904,0.005093
-3.090629,-2.408281,8.96209,0.006335,-0.00548,0.002907
-3.087498,-2.402108,8.973457,0.005427,-0.005301,0.005699
-3.089821,-2.385312,8.98195,0.003754,-0.004979,0.002827
-3.085459,-2.384361,8.979218,0.006875,-0.004251,0.007974
-3.076838,-2.375001,8.980051,0.009332,0.002526,0.0028
-3.098275,-2.374316,8.979899,0.011651,0.002729,0.004063
-3.085685,-2.38056,8.965065,0.008978,-0.00333,0.005866
-3.09494,-2.388387,8.979223,0.003608,-0.002003,0.00549
-3.097708,-2.391972,8.988915,0.002647,-0.004637,0.003238
-3.097161,-2.4006,8.990051,0.002094,-0.006548,0.0017
-3.083299,-2.391898,9.010272,0.003049,-0.005693,0.001863
-3.081259,-2.409973,9.006852,0.006596,-0.003395,0.00621
-3.086499,-2.399362,9.015847,0.002496,-0.007589,0.004708
-3.10051,-2.402656,9.014581,0.009346,-0.002635,0.003264
-3.086601,-2.395185,9.006793,0.008478,-0.001132,0.004582
-3.094572,-2.402718,9.00689,0.006656,-0.001416,0.004279
-3.083661,-2.393367,9.002294,0.008972,0.000889,0.003358
-3.092363,-2.395692,8.988923,0.006828,-0.002802,0.005662
-3.091482,-2.398459,8.986225,0.004299,-0.006971,0.004207
-3.096955,-2.398678,8.981728,0.004402,-0.004362,0.001424
-3.082897,-2.385581,8.951931,0.004491,-0.004333,0.003824
-3.11069,-2.393623,8.956349,0.007169,-0.004382,0.004345
-3.075744,-2.399988,8.951565,0.005615,-0.002372,0.002761
-3.078977,-2.400305,8.960935,0.007479,-0.002468,0.004101
-3.089364,-2.38706,8.974977,0.003785,0.00006,0.003825
-3.096626,-2.408161,8.988327,0.008985,-0.001744,0.003317
-3.08627,-2.39219,8.995433,0.00671,-0.002124,0.003599
-3.0993,-2.391389,9.000718,0.005876,-0.004262,0.004519
-3.089686,-2.383851,8.98959,0.004739,-0.004143,0.003839
-3.091903,-2.394353,8.980365,0.006516,-0.006029,0.00418
-3.09278,-2.39641,8.97617,0.005365,-0.003767,0.004727
-3.088964,-2.398971,8.997295,0.006497,-0.007213,0.005375
-3.092205,-2.400833,8.976583,0.00431,-0.00698,0.00643
-3.099336,-2.393599,8.987248,0.001893,-0.007169,0.003243
-3.087648,-2.392035,8.977513,0.002964,-0.004552,0.005384
-3.08899,-2.406243,8.985893,0.002496,-0.008241,0.004565
-3.089506,-2.405071,8.987592,0.006737,-0.003407,0.003829
-3.098525,-2.402025,8.985892,0.008059,-0.000305,0.00646
-3.095055,-2.384163,8.978541,0.007016,-0.00112,0.005812
-3.099483,-2.396325,8.981005,0.003722,-0.002285,0.004654
-3.090953,-2.386243,8.975066,0.006364,-0.001813,0.004263
-3.095629,-2.386954,8.98509,0.006111,-0.001007,0.004942
-3.097759,-2.397277,8.976204,0.004023,-0.004212,0.005212
-3.08985,-2.391737,8.977585,0.004053,-0.00839,0.003712
-3.082969,-2.3923,8.980907,0.002147,-0.004725,0.004449
-3.104152,-2.395476,8.984214,0.006004,-0.003315,0.005154
-3.091731,-2.392352,8.969648,0.006804,-0.00573,0.002432
-3.093476,-2.397143,8.985906,0.00458,-0.008262,0.004724
-3.094706,-2.39634,8.983808,0.006807,-0.002684,0.007095
-3.103164,-2.398162,8.985576,0.00647,-0.002345,0.007333
-3.080575,-2.398679,8.977808,0.004469,-0.005027,0.006581
-3.090862,-2.393696,8.989297,0.006486,-0.005183,0.001235
-3.077031,-2.395519,8.987484,0.004812,-0.006589,0.003609
-3.08788,-2.397024,8.985136,0.0048,-0.005086,0.004325
-3.102154,-2.395926,8.988276,0.003641,-0.0028,0.004301
-3.091132,-2.387864,8.983732,0.005647,-0.003507,0.004112
-3.086057,-2.386564,8.979205,0.006761,-0.003972,0.001398
-3.091522,-2.404122,8.982101,0.006592,-0.003923,0.004978
-3.072561,-2.390019,8.977063,0.006779,-0.004127,0.003402
-3.095958,-2.395391,8.997588,0.00652,-0.003856,0.005182
-3.084239,-2.403446,8.975792,0.004666,-0.004809,0.004658
-3.098554,-2.399341,8.983153,0.003679,-0.006975,0.004885
-3.083281,-2.39033,8.978154,0.003306,-0.005156,0.001865
-3.085272,-2.405066,8.986245,0.005506,-0.006333,0.003811
-3.085102,-2.395254,8.983322,0.006382,-0.001663,0.004612
-3.097618,-2.395781,8.989006,0.006442,-0.00583,0.003838
-3.092763,-2.394978,8.974823,0.006757,-0.004739,0.002848
-3.091928,-2.395273,8.991386,0.00751,-0.005415,0.005101
-3.0768,-2.380647,8.975651,0.004061,-0.003797,0.005391
-3.096793,-2.391996,8.978642,0.007895,-0.00363,0.004888
-3.074537,-2.394296,8.979914,0.002643,-0.009186,0.004121
-3.096468,-2.402297,9.002081,0.002864,-0.003933,0.002754
-3.077832,-2.392864,8.975406,0.005107,-0.005482,0.003429
-3.101744,-2.399821,8.989374,0.00653,-0.002309,0.004058
-3.077538,-2.396637,8.973316,0.005318,-0.004146,0.002047
-3.090453,-2.391393,8.971659,0.006743,-0.004704,0.002152
-3.100189,-2.389378,8.991019,0.006562,-0.002212,0.005035
-3.090258,-2.402491,8.985827,0.006354,-0.002763,0.003599
-3.088992,-2.397398,8.980632,0.005274,-0.002359,0.002684
-3.099699,-2.391158,8.990357,0.003553,-0.003796,0.001839
-3.079612,-2.394801,8.97576,0.005126,-0.004107,0.00323
-3.08801,-2.399735,8.992425,0.006411,-0.006356,0.005412
